🚀 Initializing Evaluation... Using device: cuda
📦 Loading Custom Sample Images...
💾 Loading trained PyTorch weights...
🎯 Testing accuracy on 100 sample images...

FILENAME           | TRUE LABEL   | PREDICTION   | STATUS
-----------------------------------------------------------------
airplane_0.png     | airplane     | airplane     | ✅ Correct
airplane_1.png     | airplane     | airplane     | ✅ Correct
airplane_2.png     | airplane     | bird         | ❌ Incorrect
airplane_3.png     | airplane     | airplane     | ✅ Correct
airplane_4.png     | airplane     | airplane     | ✅ Correct
airplane_5.png     | airplane     | airplane     | ✅ Correct
airplane_6.png     | airplane     | ship         | ❌ Incorrect
airplane_7.png     | airplane     | airplane     | ✅ Correct
airplane_8.png     | airplane     | airplane     | ✅ Correct
airplane_9.png     | airplane     | airplane     | ✅ Correct
automobile_0.png   | automobile   | automobile   | ✅ Correct
automobile_1.png   | automobile   | automobile   | ✅ Correct
automobile_2.png   | automobile   | automobile   | ✅ Correct
automobile_3.png   | automobile   | automobile   | ✅ Correct
automobile_4.png   | automobile   | automobile   | ✅ Correct
automobile_5.png   | automobile   | automobile   | ✅ Correct
automobile_6.png   | automobile   | automobile   | ✅ Correct
automobile_7.png   | automobile   | automobile   | ✅ Correct
automobile_8.png   | automobile   | automobile   | ✅ Correct
automobile_9.png   | automobile   | automobile   | ✅ Correct
bird_0.png         | bird         | ship         | ❌ Incorrect
bird_1.png         | bird         | horse        | ❌ Incorrect
bird_2.png         | bird         | bird         | ✅ Correct
bird_3.png         | bird         | bird         | ✅ Correct
bird_4.png         | bird         | bird         | ✅ Correct
bird_5.png         | bird         | bird         | ✅ Correct
bird_6.png         | bird         | bird         | ✅ Correct
bird_7.png         | bird         | bird         | ✅ Correct
bird_8.png         | bird         | bird         | ✅ Correct
bird_9.png         | bird         | frog         | ❌ Incorrect
cat_0.png          | cat          | ship         | ❌ Incorrect
cat_1.png          | cat          | bird         | ❌ Incorrect
cat_2.png          | cat          | dog          | ❌ Incorrect
cat_3.png          | cat          | bird         | ❌ Incorrect
cat_4.png          | cat          | cat          | ✅ Correct
cat_5.png          | cat          | cat          | ✅ Correct
cat_6.png          | cat          | cat          | ✅ Correct
cat_7.png          | cat          | horse        | ❌ Incorrect
cat_8.png          | cat          | airplane     | ❌ Incorrect
cat_9.png          | cat          | cat          | ✅ Correct
deer_0.png         | deer         | deer         | ✅ Correct
deer_1.png         | deer         | bird         | ❌ Incorrect
deer_2.png         | deer         | deer         | ✅ Correct
deer_3.png         | deer         | horse        | ❌ Incorrect
deer_4.png         | deer         | ship         | ❌ Incorrect
deer_5.png         | deer         | deer         | ✅ Correct
deer_6.png         | deer         | bird         | ❌ Incorrect
deer_7.png         | deer         | cat          | ❌ Incorrect
deer_8.png         | deer         | dog          | ❌ Incorrect
deer_9.png         | deer         | airplane     | ❌ Incorrect
dog_0.png          | dog          | dog          | ✅ Correct
dog_1.png          | dog          | bird         | ❌ Incorrect
dog_2.png          | dog          | dog          | ✅ Correct
dog_3.png          | dog          | airplane     | ❌ Incorrect
dog_4.png          | dog          | cat          | ❌ Incorrect
dog_5.png          | dog          | dog          | ✅ Correct
dog_6.png          | dog          | automobile   | ❌ Incorrect
dog_7.png          | dog          | dog          | ✅ Correct
dog_8.png          | dog          | horse        | ❌ Incorrect
dog_9.png          | dog          | dog          | ✅ Correct
frog_0.png         | frog         | frog         | ✅ Correct
frog_1.png         | frog         | frog         | ✅ Correct
frog_2.png         | frog         | frog         | ✅ Correct
frog_3.png         | frog         | frog         | ✅ Correct
frog_4.png         | frog         | airplane     | ❌ Incorrect
frog_5.png         | frog         | frog         | ✅ Correct
frog_6.png         | frog         | frog         | ✅ Correct
frog_7.png         | frog         | frog         | ✅ Correct
frog_8.png         | frog         | frog         | ✅ Correct
frog_9.png         | frog         | frog         | ✅ Correct
horse_0.png        | horse        | horse        | ✅ Correct
horse_1.png        | horse        | dog          | ❌ Incorrect
horse_2.png        | horse        | horse        | ✅ Correct
horse_3.png        | horse        | automobile   | ❌ Incorrect
horse_4.png        | horse        | horse        | ✅ Correct
horse_5.png        | horse        | horse        | ✅ Correct
horse_6.png        | horse        | horse        | ✅ Correct
horse_7.png        | horse        | horse        | ✅ Correct
horse_8.png        | horse        | horse        | ✅ Correct
horse_9.png        | horse        | horse        | ✅ Correct
ship_0.png         | ship         | ship         | ✅ Correct
ship_1.png         | ship         | airplane     | ❌ Incorrect
ship_2.png         | ship         | airplane     | ❌ Incorrect
ship_3.png         | ship         | ship         | ✅ Correct
ship_4.png         | ship         | ship         | ✅ Correct
ship_5.png         | ship         | ship         | ✅ Correct
ship_6.png         | ship         | ship         | ✅ Correct
ship_7.png         | ship         | ship         | ✅ Correct
ship_8.png         | ship         | ship         | ✅ Correct
ship_9.png         | ship         | ship         | ✅ Correct
truck_0.png        | truck        | bird         | ❌ Incorrect
truck_1.png        | truck        | truck        | ✅ Correct
truck_2.png        | truck        | truck        | ✅ Correct
truck_3.png        | truck        | automobile   | ❌ Incorrect
truck_4.png        | truck        | truck        | ✅ Correct
truck_5.png        | truck        | truck        | ✅ Correct
truck_6.png        | truck        | truck        | ✅ Correct
truck_7.png        | truck        | airplane     | ❌ Incorrect
truck_8.png        | truck        | truck        | ✅ Correct
truck_9.png        | truck        | ship         | ❌ Incorrect
=================================================================
🏆 Final Test Accuracy: 68.00% (68/100 correct)
=================================================================
